<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	00:00:00	1.08687	1.09464	1.07812	1.08323	108256	0	50
2016.01.05	00:00:00	1.08280	1.08388	1.07107	1.07484	90882	0	50
2016.01.06	00:00:00	1.07404	1.07995	1.07149	1.07800	97157	0	50
2016.01.07	00:00:00	1.07761	1.09401	1.07711	1.09315	115318	0	50
2016.01.08	00:00:00	1.09306	1.09335	1.08034	1.09271	117550	0	50
2016.01.11	00:00:00	1.09160	1.09694	1.08481	1.08589	105959	0	50
2016.01.12	00:00:00	1.08563	1.09003	1.08198	1.08578	108675	0	50
2016.01.13	00:00:00	1.08510	1.08877	1.08049	1.08770	109744	0	50
2016.01.14	00:00:00	1.08751	1.09429	1.08347	1.08654	120734	0	50
2016.01.15	00:00:00	1.08624	1.09846	1.08547	1.09130	129138	0	50
2016.01.18	00:00:00	1.09190	1.09275	1.08689	1.08887	81824	0	50
2016.01.19	00:00:00	1.08892	1.09391	1.08595	1.09073	101334	0	50
2016.01.20	00:00:00	1.09044	1.09759	1.08773	1.08899	120661	0	50
2016.01.21	00:00:00	1.08889	1.09217	1.07778	1.08743	135153	0	50
2016.01.22	00:00:00	1.08714	1.08766	1.07892	1.07944	107256	0	50
2016.01.25	00:00:00	1.07876	1.08569	1.07876	1.08490	90233	0	50
2016.01.26	00:00:00	1.08459	1.08744	1.08187	1.08696	88739	0	50
2016.01.27	00:00:00	1.08664	1.09164	1.08507	1.08929	101934	0	50
2016.01.28	00:00:00	1.08900	1.09677	1.08697	1.09394	95371	0	50
2016.01.29	00:00:00	1.09367	1.09485	1.08099	1.08322	116572	0	50
2016.02.01	00:00:00	1.08300	1.09127	1.08149	1.08876	78779	0	50
2016.02.02	00:00:00	1.08856	1.09399	1.08852	1.09190	90267	0	50
2016.02.03	00:00:00	1.09168	1.11456	1.09038	1.11034	122832	0	50
2016.02.04	00:00:00	1.11010	1.12392	1.10697	1.12092	137580	0	50
2016.02.05	00:00:00	1.12056	1.12481	1.11090	1.11564	113876	0	50
2016.02.08	00:00:00	1.11429	1.12157	1.10867	1.11929	120588	0	50
2016.02.09	00:00:00	1.11913	1.13381	1.11624	1.12923	149432	0	50
2016.02.10	00:00:00	1.12867	1.13114	1.11606	1.12880	150856	0	50
2016.02.11	00:00:00	1.12877	1.13762	1.12741	1.13234	162826	0	50
2016.02.12	00:00:00	1.13216	1.13337	1.12141	1.12500	135564	0	50
2016.02.15	00:00:00	1.12371	1.12499	1.11279	1.11539	162986	0	50
2016.02.16	00:00:00	1.11540	1.11928	1.11242	1.11435	193317	0	50
2016.02.17	00:00:00	1.11440	1.11790	1.11059	1.11280	202506	0	50
2016.02.18	00:00:00	1.11281	1.11497	1.10709	1.11069	193202	0	50
2016.02.19	00:00:00	1.11062	1.11393	1.10667	1.11318	187772	0	50
2016.02.22	00:00:00	1.11112	1.11248	1.10032	1.10297	161269	0	50
2016.02.23	00:00:00	1.10294	1.10528	1.09901	1.10194	180108	0	50
2016.02.24	00:00:00	1.10195	1.10465	1.09572	1.10127	203992	0	50
2016.02.25	00:00:00	1.10127	1.10501	1.09868	1.10173	180704	0	50
2016.02.26	00:00:00	1.10182	1.10684	1.09117	1.09291	177406	0	50
2016.02.29	00:00:00	1.09142	1.09626	1.08592	1.08729	172422	0	50
2016.03.01	00:00:00	1.08729	1.08936	1.08340	1.08658	176787	0	50
2016.03.02	00:00:00	1.08658	1.08813	1.08255	1.08682	162634	0	50
2016.03.03	00:00:00	1.08679	1.09729	1.08534	1.09549	158224	0	50
2016.03.04	00:00:00	1.09557	1.10436	1.09031	1.10053	178237	0	50
2016.03.07	00:00:00	1.09906	1.10258	1.09401	1.10143	134639	0	50
2016.03.08	00:00:00	1.10136	1.10580	1.09937	1.10109	157943	0	50
2016.03.09	00:00:00	1.10109	1.10349	1.09461	1.09998	146127	0	50
2016.03.10	00:00:00	1.09991	1.12181	1.08219	1.11775	226085	0	50
2016.03.11	00:00:00	1.11775	1.12099	1.10804	1.11508	174441	0	50
2016.03.14	00:00:00	1.11361	1.11762	1.10778	1.11020	130122	0	50
2016.03.15	00:00:00	1.11014	1.11250	1.10719	1.11084	135343	0	50
2016.03.16	00:00:00	1.11088	1.12422	1.10578	1.12213	159835	0	50
2016.03.17	00:00:00	1.12229	1.13425	1.12052	1.13179	189836	0	50
2016.03.18	00:00:00	1.13179	1.13368	1.12560	1.12764	140693	0	50
2016.03.21	00:00:00	1.12621	1.12850	1.12343	1.12411	119381	0	50
2016.03.22	00:00:00	1.12411	1.12601	1.11883	1.12161	141871	0	50
2016.03.23	00:00:00	1.12174	1.12236	1.11595	1.11808	121494	0	50
2016.03.24	00:00:00	1.11803	1.11876	1.11443	1.11746	115416	0	50
2016.03.25	00:00:00	1.11749	1.11812	1.11539	1.11656	39903	0	50
2016.03.28	00:00:00	1.11618	1.12201	1.11530	1.11951	55412	0	50
2016.03.29	00:00:00	1.11952	1.13034	1.11690	1.12897	145581	0	50
2016.03.30	00:00:00	1.12898	1.13654	1.12835	1.13369	159670	0	50
2016.03.31	00:00:00	1.13365	1.14119	1.13102	1.13784	147612	0	50
2016.04.01	00:00:00	1.13783	1.14380	1.13348	1.13928	163229	0	50
2016.04.04	00:00:00	1.14010	1.14127	1.13574	1.13894	126709	0	50
2016.04.05	00:00:00	1.13894	1.14051	1.13358	1.13834	142138	0	50
2016.04.06	00:00:00	1.13834	1.14318	1.13268	1.13992	147646	0	50
2016.04.07	00:00:00	1.13992	1.14541	1.13376	1.13773	162907	0	50
2016.04.08	00:00:00	1.13776	1.14194	1.13491	1.13959	134370	0	50
