date,open,high,low,close,volume
2012-11-04 00:00:00,30.88,31.08,30.87,31.08,170
2012-11-05 00:00:00,31.08,31.23,30.66,31.2,7498
2012-11-06 00:00:00,31.2,32.26,31.07,31.88,7847
2012-11-07 00:00:00,31.89,32.4,31.21,31.82,12638
2012-11-08 00:00:00,31.82,32.44,31.64,32.33,9630
2012-11-09 00:00:00,32.32,32.78,32.07,32.58,8959
2012-11-11 00:00:00,32.58,32.74,32.58,32.67,157
2012-11-12 00:00:00,32.67,32.73,32.2,32.32,6593
2012-11-13 00:00:00,32.34,32.81,32.07,32.5,7897
2012-11-14 00:00:00,32.51,32.91,32.35,32.59,6218
2012-11-15 00:00:00,32.58,32.77,32.15,32.6,6826
2012-11-16 00:00:00,32.59,32.63,32.02,32.3,7349
2012-11-18 00:00:00,32.31,32.42,32.3,32.41,127
2012-11-19 00:00:00,32.4,33.21,32.31,33.06,5842
2012-11-20 00:00:00,33.05,33.23,32.86,33.12,5419
2012-11-21 00:00:00,33.11,33.42,32.83,33.38,6123
2012-11-22 00:00:00,33.37,33.43,33.14,33.34,2146
2012-11-23 00:00:00,33.33,34.14,33.24,34.05,5039
2012-11-25 00:00:00,34.01,34.08,33.98,34.0,168
2012-11-26 00:00:00,33.99,34.2,33.88,34.16,8108
2012-11-27 00:00:00,34.19,34.27,33.89,33.98,6328
2012-11-28 00:00:00,33.96,34.04,32.9,33.76,8291
2012-11-29 00:00:00,33.77,34.38,33.52,34.2,6905
2012-11-30 00:00:00,34.19,34.33,33.13,33.42,7792
2012-12-02 00:00:00,33.39,33.53,33.38,33.52,216
2012-12-03 00:00:00,33.5,33.82,33.39,33.6,6328
2012-12-04 00:00:00,33.59,33.62,32.68,32.85,8119
2012-12-05 00:00:00,32.84,33.22,32.51,32.81,6816
2012-12-06 00:00:00,32.79,33.24,32.52,32.97,7857
2012-12-07 00:00:00,32.98,33.24,32.61,33.07,7817
2012-12-09 00:00:00,33.06,33.12,33.03,33.07,158
2012-12-10 00:00:00,33.08,33.42,33.06,33.21,5146
2012-12-11 00:00:00,33.21,33.22,32.75,32.95,4981
2012-12-12 00:00:00,32.96,33.78,32.92,33.32,7402
2012-12-13 00:00:00,33.32,33.34,32.21,32.53,8281
2012-12-14 00:00:00,32.55,32.71,32.17,32.26,5648
2012-12-16 00:00:00,32.33,32.39,32.28,32.3,287
2012-12-17 00:00:00,32.29,32.4,32.01,32.25,4735
2012-12-18 00:00:00,32.24,32.53,31.34,31.75,7319
2012-12-19 00:00:00,31.73,31.8,30.98,31.06,7882
2012-12-20 00:00:00,31.06,31.22,29.59,29.96,8971
2012-12-21 00:00:00,29.95,30.28,29.62,30.0,7844
2012-12-23 00:00:00,29.99,30.12,29.97,30.07,152
2012-12-24 00:00:00,30.07,30.35,29.82,29.9,4176
2012-12-26 00:00:00,29.94,30.21,29.83,30.03,2605
2012-12-27 00:00:00,30.04,30.48,29.69,30.15,5331
2012-12-28 00:00:00,30.16,30.33,29.87,30.01,4484
