<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	00:00:00	1062.39	1083.50	1061.75	1074.35	81349	0	0
2016.01.05	00:00:00	1073.44	1081.97	1072.60	1077.51	58634	0	0
2016.01.06	00:00:00	1077.18	1095.25	1075.04	1093.61	52347	0	0
2016.01.07	00:00:00	1093.75	1110.09	1091.46	1108.76	65182	0	0
2016.01.08	00:00:00	1108.81	1113.10	1091.82	1103.92	64976	0	0
2016.01.11	00:00:00	1103.88	1108.58	1093.66	1093.95	55258	0	0
2016.01.12	00:00:00	1094.65	1099.18	1083.41	1086.47	50470	0	0
2016.01.13	00:00:00	1086.98	1095.51	1079.84	1093.37	48252	0	0
2016.01.14	00:00:00	1093.41	1095.38	1071.43	1078.07	57138	0	0
2016.01.15	00:00:00	1079.18	1097.39	1076.34	1088.69	62623	0	0
2016.01.18	00:00:00	1089.35	1093.31	1087.49	1089.21	30028	0	0
2016.01.19	00:00:00	1089.02	1094.60	1082.58	1087.14	72922	0	0
2016.01.20	00:00:00	1087.17	1109.58	1087.16	1100.58	87017	0	0
2016.01.21	00:00:00	1100.78	1104.53	1092.52	1100.17	91198	0	0
2016.01.22	00:00:00	1101.23	1102.84	1094.05	1097.60	72886	0	0
2016.01.25	00:00:00	1097.50	1108.91	1097.28	1107.57	63592	0	0
2016.01.26	00:00:00	1108.22	1122.94	1107.03	1119.67	73943	0	0
2016.01.27	00:00:00	1119.73	1128.07	1114.90	1124.69	67424	0	0
2016.01.28	00:00:00	1124.92	1125.81	1110.65	1114.89	72653	0	0
2016.01.29	00:00:00	1114.07	1118.33	1108.31	1117.96	70821	0	0
2016.02.01	00:00:00	1117.54	1129.75	1115.60	1128.09	61942	0	0
2016.02.02	00:00:00	1128.35	1131.06	1122.31	1128.53	61024	0	0
2016.02.03	00:00:00	1129.06	1145.52	1124.45	1142.27	85366	0	0
2016.02.04	00:00:00	1141.97	1157.38	1139.56	1155.25	94317	0	0
