date,close,sent_mean,sent_std,sent_min,sent_max,sent_decay,sent_momentum,sent_vol,sent_diffusion,headline_count_z,sig_buy,sig_sell,sig_hold,sig_none
2025-05-02 00:00:00-04:00,3231.9,-0.45184797,0.0,-0.45184797,-0.45184797,-0.45184797,0.0,0.0,-0.24,0.0,0.0,1.0,0.0,0.0
2025-05-05 00:00:00-04:00,3311.3,-0.47297725,0.029881315,-0.49410653,-0.45184797,-0.4754074,-0.04225856,0.029881315,-0.23968591,-0.70710653,0.0,1.0,0.0,0.0
2025-05-06 00:00:00-04:00,3411.4,-0.43896806,0.06258054,-0.49410653,-0.37094966,-0.43230826,0.12315688,0.06258054,-0.21045132,0.8728713,0.0,1.0,0.0,0.0
2025-05-07 00:00:00-04:00,3381.4,-0.4053682,0.0844197,-0.49410653,-0.30456862,-0.38861656,0.06638104,0.0844197,-0.18122381,-0.6354887,0.0,1.0,0.0,0.0
2025-05-08 00:00:00-04:00,3296.6,-0.3953172,0.07648612,-0.49410653,-0.30456862,-0.37852675,-0.050544605,0.07648612,-0.18957536,-1.4036628,0.0,1.0,0.0,0.0
2025-05-09 00:00:00-04:00,3335.4,-0.35372368,0.09285443,-0.49410653,-0.24388039,-0.34149012,0.11123283,0.09220784,-0.1733078,-0.76363033,0.0,1.0,0.0,0.0
2025-05-12 00:00:00-04:00,3220.0,-0.29281226,0.07612917,-0.37094966,-0.18954948,-0.3023855,0.054330908,0.10835597,-0.15559313,-1.0765378,0.0,1.0,0.0,0.0
2025-05-13 00:00:00-04:00,3240.3,-0.27727664,0.06298925,-0.3551132,-0.18954948,-0.30015382,-0.10372197,0.10192676,-0.16093756,-1.6629585,0.0,1.0,0.0,0.0
2025-05-14 00:00:00-04:00,3181.4,-0.2775121,0.063118845,-0.3551132,-0.18954948,-0.30147228,-0.01247449,0.095944695,-0.17500146,-0.39079633,0.0,1.0,0.0,0.0
2025-05-15 00:00:00-04:00,3220.7,-0.27764213,0.06331904,-0.3557634,-0.18954948,-0.3139061,-0.05001746,0.09071093,-0.181503,-1.7706414,0.0,1.0,0.0,0.0
2025-05-16 00:00:00-04:00,3182.0,-0.3236177,0.10342886,-0.47375825,-0.18954948,-0.3497023,-0.11799486,0.09401172,-0.19959502,-1.2297745,0.0,1.0,0.0,0.0
2025-05-19 00:00:00-04:00,3228.9,-0.39592704,0.11227094,-0.5510961,-0.29327145,-0.39401954,-0.077337824,0.10550581,-0.22199085,0.8161409,0.0,1.0,0.0,0.0
